日付,開始時間,終了時間
2024-10-24,11:25:58,11:26:04
2024-10-24,11:26:09,11:27:09
2024-10-24,11:27:14,11:27:20
2024-10-24,11:27:25,11:28:25
2024-10-24,11:28:30,11:28:36
2024-10-24,11:28:41,11:29:41
2024-10-24,11:36:15,11:36:21
2024-10-24,11:36:26,11:37:26
2024-10-24,11:37:31,11:37:37
2024-10-24,11:40:45,11:40:51
2024-10-24,11:40:56,11:41:56
2024-10-24,11:42:01,11:42:07
2024-10-24,13:12:47,13:12:53
2024-10-24,13:12:58,13:13:59
2024-10-24,14:02:20,14:02:26
2024-10-25,11:30:14,11:30:20
2024-10-25,11:46:12,11:46:18
2024-10-25,11:46:23,11:47:24
2024-10-25,11:47:29,11:47:35
2024-10-25,11:47:40,11:48:40
2024-10-25,11:48:45,11:48:51
2024-10-25,11:48:56,11:49:57
2024-10-25,14:26:45,14:26:51
2024-10-25,14:28:51,14:28:57
2024-10-25,15:02:05,15:02:11
2024-10-25,15:02:16,15:03:16
2024-10-25,15:11:16,15:11:21
2024-10-25,15:12:14,15:12:19
2024-10-25,15:14:09,15:14:11
2024-10-25,15:14:18,15:14:33
2024-10-25,15:23:52,15:23:55
2024-10-25,15:24:00,15:24:03
2024-10-25,15:24:18,15:24:24
2024-10-25,15:27:48,15:27:50
2024-10-25,15:27:58,15:27:59
2024-10-28,10:35:38,10:35:44
2024-10-28,10:42:24,10:42:25
2024-10-28,11:37:34,11:37:40
2024-10-28,11:43:15,11:43:21
2024-10-28,11:43:26,11:43:30
2024-10-28,11:43:31,11:43:37
2024-10-28,11:43:41,11:43:47
2024-10-28,11:43:52,11:44:36
2024-10-28,11:45:14,11:45:22
2024-10-28,13:55:00,13:55:01
2024-11-01,10:45:57,10:46:27
2024-11-01,10:46:32,10:46:37
2024-11-01,10:50:12,10:50:17
2024-11-01,10:51:54,10:52:26
2024-11-01,10:54:50,10:54:56
2024-11-01,10:57:12,10:58:13
2024-11-01,10:58:18,10:58:20
2024-11-01,10:58:35,10:59:35
2024-11-01,11:00:37,11:01:38
2024-11-01,11:16:27,11:17:28
2024-11-01,11:36:37,11:36:45
2024-11-01,11:36:55,11:37:56
2024-11-01,11:38:01,11:38:05
2024-11-01,11:40:06,11:41:06
2024-11-01,11:41:11,11:41:18
2024-11-01,11:41:19,11:42:19
2024-11-01,11:42:24,11:42:26
2024-11-01,11:44:22,11:45:22
2024-11-01,11:49:50,11:50:50
2024-11-01,11:51:51,11:52:51
2024-11-01,11:53:22,11:54:22
2024-11-01,11:54:27,11:54:36
2024-11-01,13:02:14,13:03:14
2024-11-01,13:03:41,13:04:41
2024-11-01,13:34:36,13:35:37
2024-11-05,10:34:32,10:34:32
2024-11-06,10:39:44,10:39:54
2024-11-06,10:39:54,10:39:55
2024-11-06,10:39:59,10:40:09
2024-11-06,11:31:57,11:32:03,Work
2024-11-06,11:40:51,11:40:59,Work
2024-11-06,11:42:26,11:42:28,Work
2024-11-06,11:42:31,11:43:32,Work
2024-11-06,11:43:35,11:43:41,Break
2024-11-06,13:15:57,13:15:58,Work
2024-11-06,13:53:04,13:53:05,Work
2024-11-07,10:51:33,10:52:33,Work
2024-11-07,10:52:36,10:52:40,Break
2024-11-07,10:52:49,10:53:49,Work
2024-11-07,10:53:59,10:54:07,Break
2024-11-08,11:56:07,11:56:16,Work
